linkname,coefficient,coefficient_from_ocr,p_value,significance_level,highway,latitude,longitude,road_name,name,Link ID,Number of lanes,Speed limit (mph),Average speed (mph),Average delay (spvpm),Reliability (spvpm),Average daily flow,Length (m),Total delay (vhd),Road number,Road class,Direction,Link location,Start Width,End Width,match_method
106027201,0.0034374737,43378.0,0.0,***,A14,52.2672272614505,0.431286458035673,A14/1241B,MIDAS site at A14/1241B priority 1 on link 106027201; GPS Ref: 566001;266012; Westbound,106027201,3.0,70.0,57.485,13.36,3.4212000000000002,34810.4,2791.11,130.6936,A14,Rural all-purpose dual 3 or more lane carriageway,Westbound,A14 westbound between J38 and J37,,,exact_link_id
106031101,0.0076914015,107448.0,0.0,***,A14,52.2726399485266,0.448293537575915,A14/1254A,MIDAS site at A14/1254A priority 1 on link 106031101; GPS Ref: 567141;266653; Eastbound,106031101,2.0,70.0,64.6542,4.4232,1.4964,16671.8,5698.78,20.4774,A14,Rural all-purpose dual 2 lane carriageway,Eastbound,A14 eastbound between J38 and J39,,,exact_link_id
106063401,-0.0067610387,-0.0025144,0.0,***,A14,52.2373076622225,0.152582572192568,A14/1012B,MIDAS site at A14/1012B priority 1 on link 106063401; GPS Ref: 547084;262083; Westbound,106063401,2.0,70.0,58.540800000000004,10.083,2.1526,23123.4,857.8799999999999,64.99719999999999,A14,Rural all-purpose dual 2 lane carriageway,Westbound,A14 westbound within J33,,,exact_link_id
106063402,-0.0023448162,,,,A14,52.2377039755327,0.14760732153188,A14/1008M,MIDAS site at A14/1008M priority 1 on link 106063402; GPS Ref: 546743;262117; Westbound,,2.2111716621253406,70.0,61.754241144414166,7.304957765667575,2.1724114441416895,24210.298365122617,2106.115,50.134013623978205,,,,,,,highway_mean
106063501,0.0053518917,30379.0,0.0,***,A11,52.2850361360224,0.4662203184176,A11/0041B,MIDAS site at A11/0041B priority 1 on link 106063501; GPS Ref: 568317;268073; Southbound,106063501,2.0,70.0,65.0424,4.0202,1.5138,21752.8,1902.9299999999998,24.9674,A11,Rural all-purpose dual 2 lane carriageway,Southbound,A11 southbound between B1085 near Red Lodge (south) and A14/A1304,,,exact_link_id
124000101,0.008905827,8906.0,0.0,***,A1,52.3402709084354,-0.251275447455376,A1/2033A,MIDAS site at A1/2033A priority 1 on link 124000101; GPS Ref: 519233;272792; Northbound,124000101,3.0,70.0,65.6418,3.4592,1.111,33675.6,2563.2,32.3876,A1,Rural all-purpose dual 3 or more lane carriageway,Northbound,A1 northbound between A141 and A1(M)/B1043,,,exact_link_id
124000202,-0.006116732,46543.0,0.0,***,A1M,52.3599261252671,-0.254303525147301,A1M/2055M,MIDAS site at A1M/2055M priority 1 on link 124000202; GPS Ref: 518974;274973; Southbound,,2.618279569892473,70.0,65.05325806451613,4.539043010752688,1.7346397849462367,27270.68817204301,2373.9194623655917,38.41065053763441,,,,,,,highway_mean
124000205,0.009068681,107182.0,0.0,***,A1M,52.3608428449683,-0.254884233899909,A1M/2056B,MIDAS site at A1M/2056B priority 1 on link 124000205; GPS Ref: 518932;275074; Southbound,124000205,3.0,70.0,67.7704,2.2268,1.1948,28680.0,639.22,17.934800000000003,A1(M),"Motorway, dual 3 lanes",Southbound,A1(M) southbound between J14 and A1,,,exact_link_id
124000301,-0.004930825,-0.0007292,0.0,***,A1M,52.3599987898013,-0.254961532825965,A1M/2055J,MIDAS site at A1M/2055J priority 1 on link 124000301; GPS Ref: 518929;274980; Northbound,,2.618279569892473,70.0,65.05325806451613,4.539043010752688,1.7346397849462367,27270.68817204301,2373.9194623655917,38.41065053763441,,,,,,,highway_mean
126017201,0.00953903,125679.0,0.0,***,A1M,52.5271817227383,-0.311970078529595,A1M/2248A,MIDAS site at A1M/2248A priority 1 on link 126017201; GPS Ref: 514613;293482; Northbound,126017201,3.0,70.0,65.3056,3.9954,1.552,17345.6,649.11,19.2274,A1(M),"Motorway, dual 3 lanes",Northbound,A1(M) northbound within J17,,,exact_link_id
