feature,coefficient,std_err,z_value,p_value,conf_int_lower,conf_int_upper
link_A14 westbound between J34 and J33,0.2951219077054117,,,,,
link_A14 westbound between J39 and J38,0.2870373439983268,,,,,
link_A14 westbound within J20,0.2964746645113874,,,,,
link_A14 westbound within J35,0.3082557634075045,,,,,
link_A14 westbound within J36,-0.1589227006893694,,,,,
link_A428 eastbound at a minor junction between A1198 and A1303,0.3448112270019541,,,,,
link_A428 eastbound between A1198 and A1303,0.344080783298673,,,,,
link_A428 eastbound between A1303 and M11/A14,0.3697894544453972,,,,,
link_A428 eastbound between B1043 and B1428,0.0786085574283019,,,,,
link_A428 eastbound between B1428 and A1198,-0.0902620576209278,,,,,
link_A428 eastbound exit at a minor junction between A1198 and A1303,0.0694347041517808,,,,,
link_A428 eastbound exit for A1303,0.1750543251345809,,,,,
link_A428 westbound access from A1303,0.0674152385083139,,,,,
link_A428 westbound at a minor junction between A1303 and A1198,0.3581049752117792,,,,,
link_A428 westbound between A1198 and B1428,-0.0488549935236296,,,,,
link_A428 westbound between A1303 and A1198,-0.1862198922135595,,,,,
link_A428 westbound between M11/A14 and A1303,0.3572022302771833,,,,,
link_A428 westbound exit at a minor junction between A1303 and A1198,0.127577016460651,,,,,
link_A47 eastbound between A1139 and B1167 near Thorney (west),-0.2176071814774173,,,,,
link_A47 eastbound between A1260 and A15 near Peterborough (west),-0.04822601888916,,,,,
link_A47 eastbound between B1040 and B1167 near Thorney (east),0.3527322865100545,,,,,
link_A47 eastbound between B1167 near Thorney (east) and A141,0.0462303769344809,,,,,
link_A47 eastbound between B1167 near Thorney (west) and B1040,0.1861565797413879,,,,,
link_A47 westbound between A1260 and A1,0.0981089440438946,,,,,
link_A47 westbound between A15 near Peterborough (west) and A1260,0.0805420534797155,,,,,
link_A47 westbound between B1040 and B1167 near Thorney (west),0.289329251776487,,,,,
link_A47 westbound between B1167 near Thorney (east) and B1040,0.3489160598105969,,,,,
link_A47 westbound between B198 near Wisbech (west) and A141,0.0820292447280108,,,,,
link_Cambourne Road northbound between A1198 and A428,-0.7908551813246776,,,,,
link_Cambourne Road southbound between A428 and A1198,-0.6964483460689687,,,,,
link_road from A11 southbound to A14 westbound,0.3349425550398925,,,,,
link_106020902_precip,0.0226518119854457,,,0.0,,
link_106021002_precip,0.0052164712687667,,,0.0,,
link_106021201_precip,0.0007630444304645,,,0.0,,
link_106025301_precip,0.0160564558555136,,,0.0,,
link_106025302_precip,0.0203625781714862,,,0.0,,
link_106025401_precip,0.0143803040336165,,,0.0,,
link_106026501_precip,0.0082355185115649,,,0.0,,
link_106026502_precip,0.0130364425012905,,,0.0,,
link_106026701_precip,0.0116257254143161,,,0.0,,
link_106026901_precip,0.0133754656040195,,,0.0,,
link_106027201_precip,0.0082631474209602,,,0.0,,
link_106031101_precip,0.0178602093416568,,,0.0,,
link_106063401_precip,0.0051860029606059,,,0.0,,
link_106063402_precip,0.0087878817893032,,,,,
link_106063501_precip,0.0096175490547291,,,0.0,,
link_124000101_precip,0.0190834374235584,,,0.0,,
link_124000202_precip,0.0153112908487567,,,0.0,,
link_124000205_precip,0.0216655584765576,,,0.0,,
link_124000301_precip,0.0069318564487383,,,0.0,,
link_126017201_precip,0.0158730196657656,,,0.0,,
link_126046001_precip,0.0084300306194241,,,0.0,,
link_126046101_precip,0.0178049174367769,,,0.0,,
link_199033002_precip,0.0166988267219136,,,0.0,,
link_199034401_precip,0.0120661911715684,,,0.0,,
link_199034501_precip,0.0039157788133392,,,0.0,,
link_199034803_precip,0.0197826997061426,,,0.0,,
link_199041401_precip,0.0190634390755238,,,0.0,,
link_199041501_precip,0.0095330960619511,,,0.0,,
link_199041701_precip,-0.0077436340982356,,,0.0,,
link_199042001_precip,0.0067754212150222,,,0.0,,
link_199042501_precip,-0.0301797435268882,,,0.0,,
link_199045301_precip,0.007427476317344,,,0.0,,
link_199046401_precip,0.0158629890446733,,,0.0,,
link_199046501_precip,0.0137552650520366,,,0.0,,
link_199046603_precip,0.0100796413775499,,,0.0,,
link_199046801_precip,0.0147268527931486,,,0.0,,
link_199047001_precip,0.0244313889633906,,,0.0,,
link_199047002_precip,0.0077118998645283,,,0.0,,
link_199047101_precip,0.0161631022329281,,,0.0,,
link_199047102_precip,0.0160568963340726,,,0.0,,
link_199047201_precip,0.0110207847487365,,,0.0,,
link_199047401_precip,0.0088316193908955,,,0.0,,
link_199047402_precip,0.0109815833259602,,,0.0,,
link_199047501_precip,0.0217679918648129,,,0.0,,
link_199047502_precip,0.013099975787884,,,0.0,,
link_199047601_precip,0.016112422745591,,,0.0,,
link_199047701_precip,0.0121969488176913,,,0.0,,
link_199047801_precip,0.0089286456981875,,,0.0,,
link_199047902_precip,0.0143515453029601,,,0.0,,
link_199047903_precip,0.0063855916359015,,,0.0,,
link_199048001_precip,0.0125401101186257,,,0.0,,
link_199049001_precip,0.0056539008863748,,,0.0,,
link_199049002_precip,0.0087864482257018,,,0.0,,
link_199049101_precip,0.0170195987598244,,,0.0,,
link_199049201_precip,0.0190756338527228,,,0.0,,
link_199049202_precip,0.0165414434421998,,,0.0,,
link_199049401_precip,0.0071375674063021,,,0.0,,
link_199049402_precip,-0.0032363497409049,,,0.0,,
